,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
01043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,1413,333,12.5,8.8,"9.5",1.0,"0",1.1,71.5,65.1,"71.0","2.5",0,72.7,-,4.2,1500,120,17,22,70,0.6,0.4,0.12,0.44,0,16,1,14,0,0,0,0,0,0,"0",0.3,0.2,0,0,0,0.08,"0.02","0.9",2.8,0.03,"0","8",0.70,1.3,0,-,3.8
01044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,487,114,70.0,3.3,"3.5",0.3,"0",0.4,25.6,23.3,"25.1","0.9",0,25.8,-,0.3,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3,0,0,0,0,0,0,"0",0.1,0.1,0,0,0,0.02,"0.01","0.2",0.9,Tr,"0","2",0.25,0.4,0,-,0.2
01045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,1329,312,14.0,8.6,"9.3",1.4,"0",1.5,69.7,63.5,"67.9","1.8",-,68.9,-,6.3,2300,110,20,23,70,0.6,0.4,0.14,0.43,1,22,1,16,0,0,0,0,0,0,"0",0.1,0.1,0.1,0,0,0.06,"0.02","0.9",2.7,0.03,"0","10",0.52,1.1,0,-,5.8
01046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,506,119,70.0,3.2,"3.5",0.6,"0",0.6,24.3,22.2,"24.9","1.0",-,25.5,-,0.4,130,5,6,4,23,0.2,0.1,0.05,0.12,-,-,-,-,0,0,0,0,0,0,"0",Tr,Tr,0,0,0,0.03,"0.01","0.2",0.9,0,"0","2",0.16,-,0,-,0.3
01047,59,こむぎ ［中華めん類］ 中華めん 生,1057,249,33.0,8.5,"8.6",1.0,"0",1.2,52.2,47.6,"50.4","5.4",0.1,55.7,-,1.5,410,350,21,13,66,0.5,0.4,0.09,0.35,Tr,33,1,20,0,0,0,0,0,0,"0",0.2,0.1,0,0,-,0.02,"0.02","0.6",2.3,0.02,"0","8",0.55,1.0,0,-,1.0
01048,60,こむぎ ［中華めん類］ 中華めん ゆで,564,133,65.0,4.8,"4.9",0.5,"0",0.6,27.7,25.2,"26.5","2.8",Tr,29.2,-,0.3,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,Tr,5,0,0,0,0,0,0,"0",0.1,0.1,0,0,-,0.01,"0.01","0.2",1.2,0,"Tr","3",0.25,0.5,0,-,0.2
01187,61,"こむぎ ［中華めん類］ 半生中華めん ",1293,305,23.7,9.8,"9.9",3.5,"0",4.0,59.5,54.2,"55.4","6.2",0.2,61.2,-,1.3,470,430,21,15,72,0.7,0.4,0.10,0.40,1,35,1,23,0,0,0,0,0,0,"0",Tr,Tr,0.7,-,-,0.07,"0.03","0.7",2.6,0.02,"0","9",0.63,1.3,0,-,1.2
01049,62,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,687,162,57.4,4.8,"4.9",1.4,"Tr",1.7,33.6,30.6,"32.5","3.1",0.2,35.6,-,0.5,110,80,10,9,40,0.4,0.2,0.06,0.23,Tr,9,1,6,0,0,0,0,0,0,"0",0.1,0.1,0,0,-,0,"0.16","0.3",1.4,0.02,"0","4",0.19,0.7,0,-,0.3
01188,63,こむぎ ［中華めん類］ 蒸し中華めん  ソテー,892,211,50.4,5.1,"5.2",4.3,"1",4.9,39.4,35.9,"35.8","3.6",0.2,38.9,-,0.6,130,87,10,10,43,0.4,0.2,0.06,0.25,0,10,1,7,0,0,0,0,0,0,"0",0.1,0.1,0,0,-,0,"0","0.3",1.5,0.02,"Tr","4",0.21,0.8,0,-,0.3
01050,64,こむぎ ［中華めん類］ 干し中華めん 乾,1434,337,14.7,11.5,"11.7",1.4,"0",1.6,71.4,65.0,"64.5","6.0",0.1,70.2,-,1.9,410,300,21,23,82,1.1,0.5,0.15,0.44,0,24,1,18,0,0,0,0,0,0,"0",0.2,0.1,0,0,-,0.02,"0.03","0.8",3.1,0.05,"0","11",0.76,1.4,0,-,1.0
01051,65,こむぎ ［中華めん類］ 干し中華めん ゆで,559,132,66.8,4.8,"4.9",0.4,"0",0.5,28.0,25.4,"25.1","2.6",0,27.5,-,0.3,66,42,13,10,29,0.4,0.2,0.05,0.18,0,9,Tr,4,0,0,0,0,0,0,"0",Tr,Tr,0,0,-,0,"0","0.1",1.1,0.01,"Tr","3",0.25,0.5,0,-,0.2
01052,66,こむぎ ［中華めん類］ 沖縄そば 生,1128,266,32.3,9.1,"9.2",1.7,"0",2.0,52.8,48.1,"52.5","2.1",-,54.2,-,2.3,810,340,11,50,65,0.7,1.1,0.18,0.69,-,-,-,-,0,-,-,-,0,0,"0",0.3,0.2,0,0,0,0.02,"0.04","0.8",2.6,0.11,"0","15",0.63,-,0,-,2.1
01053,67,こむぎ ［中華めん類］ 沖縄そば ゆで,561,132,65.5,5.1,"5.2",0.7,"0",0.8,27.3,24.8,"26.7","1.5",-,28.0,-,0.5,170,80,9,28,28,0.4,0.6,0.10,0.37,-,-,-,-,0,-,-,-,0,0,"0",0.2,0.1,0,0,0,0.01,"0.02","0.2",1.2,0.03,"0","6",0.23,-,0,-,0.4
01054,68,こむぎ ［中華めん類］ 干し沖縄そば 乾,1349,317,13.7,11.9,"12.0",1.5,"0",1.7,67.3,61.3,"66.1","2.1",-,67.8,-,4.8,1700,130,23,22,100,1.5,0.4,0.11,0.38,-,-,-,-,0,-,-,-,0,0,"0",0.1,0.1,0,0,0,0.12,"0.05","1.1",3.5,0.05,"0","8",0.49,-,0,-,4.3
01055,69,こむぎ ［中華めん類］ 干し沖縄そば ゆで,561,132,65.0,5.1,"5.2",0.5,"0",0.6,27.7,25.2,"27.2","1.5",-,28.6,-,0.6,200,10,11,8,36,0.5,0.1,0.05,0.16,-,-,-,-,0,-,-,-,0,0,"0",Tr,Tr,0,0,0,0.02,"0.02","0.2",1.2,0.01,"0","3",0.18,-,0,-,0.5
01056,70,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,1785,424,2.0,9.0,"10.1",16.3,"7",16.7,63.0,57.3,"62.5","2.5",0.1,63.5,-,7.7,2500,260,430,29,110,1.0,0.5,0.13,0.82,-,-,-,-,0,0,0,0,0,0,"0",3.1,0.3,3.1,2.5,1,1.46,"1.67","1.0",2.5,0.06,"0","12",0.41,-,0,-,6.4
01057,71,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,1847,439,3.0,-,"10.1",18.6,"3",19.1,60.4,54.9,"59.5","2.4",-,61.4,-,6.4,2200,150,230,25,110,0.9,0.5,0.16,0.53,2,16,7,16,0,0,13,1,14,1,"0",2.2,0.3,2.3,2.5,3,0.55,"0.83","0.9",2.6,0.05,"Tr","10",0.44,1.8,Tr,-,5.6
01198,72,こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,421,100,78.5,-,"2.3",4.4,"1",4.4,13.4,12.2,"12.8","0.5",0.1,13.4,-,1.3,430,33,28,6,20,0.2,0.1,0.03,0.12,Tr,4,2,4,0,0,3,0,3,0,"0",0.5,Tr,0.5,0.6,1,0.02,"0.13","0.2",0.6,0.01,"0","2",0.10,0.4,0,-,1.1
01189,73,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,793,189,59.8,3.5,"3.9",7.1,"2",7.7,28.7,26.1,"26.4","2.6",0,27.9,-,0.7,150,34,95,8,40,0.2,0.2,0.05,0.17,1,9,2,6,0,0,1,0,1,0,"0",0.8,0.1,1.9,0.9,0,0.05,"0.06","0.3",1.1,0.01,"Tr","3",0.11,0.7,0,-,0.4
01144,74,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,1938,461,3.7,8.2,"8.9",-,"4",19.6,65.2,59.3,"60.7","5.5",0,65.5,-,2.3,580,150,220,20,97,0.6,0.4,0.09,0.42,1,24,5,18,0,0,1,0,1,0,"0",2.2,0.4,5.8,3.0,1,0.16,"0.19","1.1",2.8,0.05,"Tr","9",0.26,1.6,0,-,1.5
01058,75,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,1426,336,10.0,-,"10.3",4.9,"2",5.2,65.7,59.8,"65.1","2.3",-,67.1,-,7.4,2700,260,110,25,110,0.8,0.4,0.11,0.66,13,8,3,16,Tr,0,5,0,5,1,"0",1.3,0.3,3.8,2.2,3,0.21,"0.04","1.0",2.7,0.05,"Tr","14",0.37,2.2,0,-,6.9
01199,76,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,392,93,76.2,-,"3.0",0.8,"1",0.8,17.4,15.8,"18.0","0.6",0.1,18.7,-,1.2,430,68,6,6,26,0.2,0.1,0.03,0.17,4,2,1,4,0,0,2,0,2,0,"0",0.2,0.1,0.9,0.7,1,0.01,"0.01","0.2",0.7,0.01,"0","4",0.10,0.6,0,-,1.1
01190,77,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,588,139,63.9,3.3,"3.4",0.6,"1",0.8,29.2,26.6,"28.7","2.7",0,31.0,-,0.9,230,64,94,8,46,0.2,0.2,0.04,0.17,1,5,2,4,0,10,27,0,31,3,"0",0.7,0.2,3.9,1.7,0,Tr,"Tr","0.4",1.1,0.01,"0","3",0.12,0.6,0,-,0.6
01145,78,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,1432,337,10.7,7.9,"8.5",-,"1",1.9,74.4,67.7,"69.4","6.5",0,75.2,-,3.7,1200,310,230,21,130,0.6,0.4,0.08,0.50,3,14,6,15,0,19,53,0,62,5,"0",1.7,0.4,9.4,4.0,Tr,0.01,"0.01","1.1",2.8,0.05,"Tr","8",0.34,1.5,0,-,3.0
01193,79,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,1772,422,5.3,9.5,"10.9",17.7,"17",18.5,57.0,52.1,"54.7","5.8",0.2,58.6,-,6.7,2300,190,190,25,110,0.7,0.5,0.09,0.41,5,22,9,15,2,49,260,7,290,26,"0.2",3.1,0.4,7.5,4.0,17,0.90,"0.61","1.2",2.9,0.07,"0.1","16",0.30,2.3,2,-,5.8
01201,80,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,386,92,79.8,2.1,"2.5",4.0,"4",4.2,3.8,3.5,"11.2","1.3",Tr,13.2,-,1.5,520,43,43,6,24,0.2,0.1,0.02,0.09,1,5,2,3,Tr,11,59,1,65,6,"Tr",0.7,0.1,1.7,0.9,4,0.20,"0.14","0.3",0.7,0.02,"Tr","4",0.07,0.5,1,-,1.3
01194,81,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,736,175,62.0,3.3,"3.8",7.2,"1",7.7,24.9,22.7,"24.0","2.2",0,25.2,-,1.3,440,37,76,7,34,0.3,0.2,0.04,0.14,1,9,3,5,0,12,59,0,65,6,"0",1.2,0.2,3.2,1.7,1,0.19,"0.14","0.3",0.9,0.02,"Tr","4",0.10,0.6,0,-,1.1
01191,82,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,1748,417,9.7,8.3,"10.0",18.6,"10",19.1,54.7,49.8,"50.5","6.1",0.2,54.6,-,6.6,2500,180,200,26,110,0.8,0.5,0.07,0.40,12,19,7,17,1,25,120,0,130,12,"0",2.7,0.4,7.9,4.3,10,0.61,"0.52","1.2",2.7,0.06,"0.1","14",0.20,2.4,2,-,6.3
01200,83,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,374,90,80.8,2.0,"2.3",4.4,"2",4.5,6.6,6.0,"9.8","1.4",Tr,12.9,-,1.6,590,43,46,6,27,0.2,0.1,0.02,0.09,3,4,2,4,0,6,28,0,31,3,"0",0.6,0.1,1.9,1.0,2,0.14,"0.12","0.3",0.6,0.01,"Tr","3",0.05,0.6,1,-,1.5
01192,84,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,596,142,69.1,2.6,"3.0",5.6,"1",5.8,18.3,16.7,"19.4","1.9",0,20.7,-,1.4,450,33,74,6,28,0.2,0.1,0.04,0.13,3,7,2,4,0,3,8,0,9,1,"0",0.9,0.1,2.3,1.3,1,0.15,"0.14","0.3",0.8,0.01,"Tr","3",0.07,0.6,0,-,1.1
01060,85,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,1687,401,11.1,6.9,"8.2",15.6,"2",18.6,59.4,54.5,"56.1","5.7",0,57.5,-,4.5,1500,180,180,27,89,1.0,0.4,0.12,0.56,6,16,4,15,0,1,50,1,51,4,"0",3.1,0.5,4.4,3.2,14,0.48,"0.66","0.8",2.1,0.06,"Tr","13",0.38,1.9,1,-,3.8
01202,86,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,929,222,53.6,4.2,"5.0",10.6,"3",11.3,14.7,13.5,"25.8","3.3",Tr,34.2,-,2.5,910,100,94,14,54,0.4,0.3,0.06,0.30,3,9,3,9,0,1,18,1,19,2,"0",1.8,0.3,4.9,2.5,11,0.28,"0.30","0.6",1.4,0.04,"Tr","9",0.15,1.1,2,-,2.3
01061,87,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,1326,314,15.2,7.7,"9.2",5.4,"6",5.8,59.5,54.3,"58.0","6.4",0,62.6,-,7.2,2800,250,48,26,100,1.2,0.4,0.10,0.66,58,14,7,18,Tr,14,130,9,140,12,"0",1.1,0.1,3.5,1.7,9,0.16,"0.13","0.8",2.2,0.07,"Tr","21",0.35,2.9,1,-,7.1
01203,88,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,277,66,83.5,2.1,"2.5",2.0,"2",2.1,13.3,12.2,"9.2","1.5",Tr,10.2,-,1.7,560,77,44,7,34,0.2,0.1,0.02,0.12,14,3,2,4,0,2,27,3,30,3,"Tr",0.3,Tr,0.9,0.4,3,0.10,"0.10","0.4",0.7,0.02,"Tr","4",0.08,0.7,2,-,1.4
01195,89,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,514,121,68.8,2.9,"3.4",1.1,"1",1.3,25.7,23.4,"23.5","2.5",0,25.3,-,1.2,380,53,76,7,42,0.3,0.1,0.03,0.17,10,5,2,3,0,0,4,1,5,Tr,"0",0.3,0.1,0.9,0.4,1,0.05,"0.06","0.3",0.8,0.01,"0","3",0.07,0.6,0,-,1.0
01062,90,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,1843,439,6.2,9.6,"10.9",19.1,"3",19.8,58.1,53.0,"51.9","6.0",0.3,56.1,-,7.0,2600,150,170,26,160,1.3,0.5,0.11,0.54,430,13,5,19,0,0,52,2,53,4,"0",2.6,0.3,5.4,2.8,5,0.11,"0.05","1.0",2.9,0.05,"0.2","12",0.25,2.0,1,-,6.7
01204,91,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,382,91,80.5,1.9,"2.2",4.4,"1",4.7,7.3,6.7,"10.3","1.4",Tr,11.2,-,1.5,550,34,41,6,38,0.2,0.1,0.02,0.10,99,3,1,4,0,1,5,1,6,Tr,"0",0.6,0.1,1.5,0.9,1,0.19,"0.08","0.3",0.6,0.01,"Tr","2",0.06,0.5,2,-,1.4
01196,92,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,683,163,64.4,2.4,"2.7",7.0,"2",7.2,23.3,21.2,"22.6","2.4",0,24.4,-,1.2,420,26,78,6,48,0.2,0.1,0.02,0.13,77,4,2,3,0,0,1,0,1,0,"0",1.0,0.1,2.3,1.3,1,0.15,"0.06","0.3",0.7,0.01,"Tr","3",0.07,0.4,1,-,1.1
01063,93,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,1476,347,11.3,12.0,"12.9",1.5,"0",1.8,73.4,66.9,"68.9","5.4",-,73.1,-,0.8,1,200,18,55,130,1.4,1.5,0.28,0.82,0,63,1,53,0,-,-,-,9,1,"0",0.3,0.2,0,0,0,0.19,"0.06","2.3",4.9,0.11,"0","13",0.65,4.0,0,-,0
01064,94,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,636,150,60.0,5.3,"5.8",0.7,"0",0.9,31.3,28.5,"29.7","3.0",-,32.2,-,1.2,460,14,8,20,53,0.7,0.7,0.14,0.35,0,32,1,13,0,-,-,-,0,0,"0",0.1,0.1,0,0,0,0.06,"0.03","0.6",1.7,0.02,"0","4",0.28,1.6,0,-,1.2
01173,95,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,784,186,57.0,5.1,"5.5",5.6,"Tr",5.8,29.7,27.0,"28.4","2.9",-,30.5,-,1.2,440,13,8,19,50,0.7,0.7,0.13,0.33,0,31,1,12,0,0,0,0,0,0,"0",0.9,0.1,1.6,0.1,6,0.06,"0.03","0.6",1.7,0.02,"0","4",0.27,1.5,0,-,1.1
01149,96,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,982,232,42.0,7.5,"7.8",1.7,"0",1.9,46.1,42.2,"45.9","1.5",0,46.9,-,1.4,470,76,12,18,73,0.5,0.5,0.12,0.32,-,-,-,-,0,0,0,0,0,0,"-",0.1,Tr,0.2,Tr,0,0.05,"0.04","1.1",2.6,0.05,"0","9",0.27,-,0,-,1.2
01065,97,こむぎ ［ふ類］ 生ふ,684,161,60.0,11.7,"12.7",0.7,"0",0.8,-,-,"26.8","0.5",-,26.2,-,0.3,7,30,13,18,60,1.3,1.8,0.25,1.04,-,-,-,-,0,-,-,-,0,0,"0",Tr,0.1,Tr,Tr,0,0.08,"0.03","0.5",2.9,0.02,"0","7",0.12,-,0,-,0
01066,98,こむぎ ［ふ類］ 焼きふ 釜焼きふ,1511,357,11.3,26.8,"28.5",2.3,"0",2.7,-,-,"55.2","3.7",-,56.9,-,0.6,6,120,33,43,130,3.3,2.2,0.32,-,-,-,-,-,0,-,-,-,0,0,"0",0.5,0.4,2.6,2.3,0,0.16,"0.07","3.5",9.0,0.08,"0","16",0.58,-,0,-,0
01067,99,こむぎ ［ふ類］ 焼きふ 板ふ,1488,351,12.5,23.6,"25.6",2.9,"0",3.3,-,-,"55.9","3.8",-,57.3,-,1.3,190,220,31,90,220,4.9,2.9,0.49,1.54,-,-,-,-,0,-,-,-,0,0,"0",0.6,0.5,0.6,0.6,0,0.20,"0.08","3.6",8.5,0.16,"0","22",0.79,-,0,-,0.5
01068,100,こむぎ ［ふ類］ 焼きふ 車ふ,1528,361,11.4,27.8,"30.2",2.9,"0",3.4,-,-,"54.4","2.6",-,54.2,-,0.8,110,130,25,53,130,4.2,2.7,0.42,1.23,-,-,-,-,0,-,-,-,0,0,"0",0.4,0.4,0,0,0,0.12,"0.07","2.9",8.7,0.07,"0","11",0.47,-,0,-,0.3
01177,101,こむぎ ［ふ類］ 油ふ,2279,547,7.1,-,"22.7",-,"1",35.3,-,-,"34.4","-",-,34.4,-,0.4,22,71,19,28,95,1.7,1.4,0.21,0.94,Tr,38,3,19,-,0,1,0,1,0,"0",3.9,0.6,13.0,5.8,65,0.07,"0.03","1.8",5.6,0.06,"0.1","17",0.22,4.6,-,-,0.1
01070,102,こむぎ ［その他］ 小麦はいが,1642,391,3.6,26.5,"32.0",10.4,"0",11.6,29.6,27.5,"40.7","14.3",-,48.3,-,4.5,3,1100,42,310,1100,9.4,16.0,0.89,-,-,-,-,-,0,0,61,4,63,5,"0",28.0,11.0,0,0,2,1.82,"0.71","4.2",10,1.24,"0","390",1.34,-,0,-,0
01071,103,こむぎ ［その他］ 小麦たんぱく 粉末状,1682,398,6.5,71.2,"72.0",6.7,"0",9.7,-,-,"12.0","2.4",-,10.6,-,1.2,60,90,75,75,180,6.6,5.0,0.75,2.67,-,-,-,-,0,-,-,-,12,1,"0",1.1,1.1,0,0,0,0.03,"0.12","3.5",17.0,0.10,"0","34",0.61,-,0,-,0.2
01072,104,こむぎ ［その他］ 小麦たんぱく 粒状,429,101,76.0,19.4,"20.0",1.4,"0",2.0,-,-,"2.6","0.4",-,1.8,-,0.2,36,3,14,16,54,1.8,1.4,0.22,0.62,-,-,-,-,0,0,0,0,0,0,"0",0.5,0.5,0,0,0,0.02,"0.01","1.2",4.8,0.01,"0","5",0,-,0,-,0.1
01073,105,こむぎ ［その他］ 小麦たんぱく ペースト状,613,145,66.0,24.2,"25.0",2.8,"0",4.1,-,-,"5.5","0.5",-,3.9,-,1.0,230,39,30,54,160,3.0,2.4,0.36,1.57,-,-,-,-,0,0,6,0,6,1,"0",1.7,1.1,0.4,0.1,0,0.20,"0.03","2.7",7.2,0.04,"0","17",0.45,-,0,-,0.6
01178,106,こむぎ ［その他］ かやきせんべい,1525,359,9.8,-,"10.6",-,"-",1.9,-,-,"75.1","-",-,75.1,-,2.7,970,150,19,27,110,0.8,0.6,0.15,0.76,1,5,1,15,-,0,1,0,1,0,"0",0.3,0.2,0,0,0,0.17,"0.02","1.2",3.0,0.09,"0","16",0.39,2.3,-,-,2.5
01074,107,こむぎ ［その他］ ぎょうざの皮 生,1172,275,32.0,8.4,"9.3",1.2,"0",1.4,60.4,54.9,"55.9","2.2",-,57.0,-,0.3,2,64,16,18,60,0.8,0.6,0.12,0.28,-,-,-,-,0,-,-,-,0,0,"0",0.2,0.2,0,0,0,0.08,"0.04","0.7",2.5,0.06,"0","12",0.61,-,0,-,0
01075,108,こむぎ ［その他］ しゅうまいの皮 生,1169,275,31.1,7.5,"8.3",1.2,"0",1.4,61.2,55.7,"57.7","2.2",-,58.9,-,0.3,2,72,16,17,60,0.6,0.5,0.10,0.28,-,-,-,-,0,-,-,-,0,0,"0",0.2,0.1,0,0,0,0.09,"0.04","0.6",2.2,0.05,"0","9",0.50,-,0,-,0
01179,109,こむぎ ［その他］ 春巻きの皮 生,1218,288,26.7,-,"8.3",-,"Tr",1.6,-,-,"57.7","4.5",-,62.2,-,1.2,440,77,13,13,54,0.3,0.3,0.09,0.23,1,18,1,12,-,0,Tr,0,Tr,0,"0",Tr,Tr,Tr,0,1,0.03,"0.01","0.7",2.0,0.03,"Tr","9",0.18,0.9,-,-,1.1
01180,110,こむぎ ［その他］ 春巻きの皮 揚げ,2135,512,7.3,-,"7.2",-,"1",30.7,-,-,"49.5","4.2",-,53.7,-,1.0,370,66,11,11,48,0.3,0.3,0.09,0.20,Tr,16,1,11,-,-,0,-,0,0,"0",4.9,0.1,11.0,0.3,47,0.02,"0.01","0.6",1.8,0.02,"Tr","8",0.18,0.8,-,-,0.9
01076,111,こむぎ ［その他］ ピザ生地,1124,265,35.3,-,"9.1",2.7,"0",3.0,53.2,48.5,"49.1","2.3",-,51.1,-,1.5,510,91,13,22,77,0.8,0.6,0.09,0.50,-,-,-,-,0,0,0,0,0,0,"0",0.3,0.2,0.4,0.2,0,0.15,"0.11","1.0",2.5,0.05,"0","20",0.54,-,0,-,1.3
01069,112,こむぎ ［その他］ ちくわぶ,677,160,60.4,6.5,"7.1",1.0,"0",1.2,-,-,"30.3","1.5",-,31.1,-,0.2,1,3,8,6,31,0.5,0.2,0.07,0.08,-,-,-,-,0,-,-,-,0,0,"0",Tr,Tr,0,0,0,0.01,"0.02","0.3",1.7,0.01,"0","4",0.25,-,0,-,0
01077,113,こむぎ ［その他］ パン粉 生,1173,277,35.0,9.1,"11.0",4.6,"0",5.1,51.5,47.2,"47.0","3.0",-,47.6,-,1.3,350,110,25,29,97,1.1,0.7,0.15,0.47,-,-,-,-,0,0,3,0,3,Tr,"0",0.3,0.2,0.4,0.3,Tr,0.11,"0.02","1.2",3.1,0.05,"0","40",0.41,-,0,-,0.9
01078,114,こむぎ ［その他］ パン粉 半生,1336,315,26.0,10.4,"12.5",5.2,"0",5.8,58.6,53.8,"53.5","3.5",-,54.3,-,1.4,400,130,28,34,110,1.2,0.8,0.17,0.53,-,-,-,-,0,0,4,0,4,Tr,"0",0.4,0.2,0.4,0.3,Tr,0.13,"0.03","1.4",3.5,0.06,"0","46",0.47,-,0,-,1.0
01079,115,こむぎ ［その他］ パン粉 乾燥,1561,369,13.5,12.1,"14.6",6.1,"0",6.8,68.5,62.9,"62.5","4.0",-,63.4,-,1.7,460,150,33,39,130,1.4,0.9,0.20,0.62,-,-,-,-,0,0,4,0,4,Tr,"0",0.4,0.2,0.5,0.4,0,0.15,"0.03","1.6",4.1,0.07,"0","54",0.54,-,0,-,1.2
01150,116,こむぎ ［その他］ 冷めん 生,1058,249,36.4,3.4,"3.9",0.6,"0",0.7,57.6,52.4,"57.1","1.1",Tr,57.6,-,1.4,530,59,11,12,57,0.3,0.2,0.05,0.21,-,-,-,-,0,0,0,0,0,0,"-",0,0,Tr,0,0,0.04,"Tr","0.4",1.2,0.02,"0","4",0.11,-,0,-,1.3
01080,117,こめ ［水稲穀粒］ 玄米,1472,346,14.9,6.0,"6.8",2.5,"0",2.7,78.4,71.3,"72.4","3.0",-,74.3,-,1.2,1,230,9,110,290,2.1,1.8,0.27,2.06,Tr,3,0,65,0,0,1,0,1,Tr,"0",1.2,0.1,0.1,0,0,0.41,"0.04","6.3",8.0,0.45,"0","27",1.37,6.0,0,-,0
